tag,fit0_intercept,fit0_slope,fit0_theta,fit1_intercept,fit1_slope,fit1_theta,n_iter,frac_positive
tag_1,2.1348871988686615,0.12742836769694615,1.9537909353051226,-3.1877901286734285,1.1586407941462757,2.150015542262475,3,0.156
tag_2,2.3629676101761623,0.09370452705315072,2.2889755462500347,-0.5525948626261479,0.7747104407809194,3.5192931841521724,3,0.15
tag_3,1.8008806073132198,0.1647608020687645,2.132592648457843,-3.2241506020364503,1.214717101807883,1.7932457908881836,3,0.186
tag_4,2.985469133439344,0.0029066920220580834,2.1255044815493007,-4.692077169472702,1.3998202999900335,2.000537799052021,3,0.168
tag_5,1.9957475970219967,0.14388230998005086,1.9734037533158906,-2.3760070199244834,1.0820979906523105,1.7673452101834075,3,0.192
tag_6,3.2101917246291616,-0.02783569436180344,2.0751501678514934,-0.9406508988034687,0.8580831711858397,2.0960312753611245,4,0.178
