pred_id	recall	precision
rE2G_base	0.0	0.0
rE2G_base	0.04670912951167728	0.8461538461538461
rE2G_base	0.09554140127388536	0.8823529411764706
rE2G_base	0.14437367303609341	0.8831168831168831
rE2G_base	0.1910828025477707	0.8823529411764706
rE2G_base	0.23354564755838642	0.859375
rE2G_base	0.2781316348195329	0.8397435897435898
rE2G_base	0.3227176220806794	0.8306010928961749
rE2G_base	0.3630573248407643	0.8181818181818182
rE2G_base	0.39490445859872614	0.7948717948717948
rE2G_base	0.42462845010615713	0.7692307692307693
rE2G_base	0.4564755838641189	0.7517482517482518
rE2G_base	0.49469214437367304	0.7396825396825397
rE2G_base	0.5222929936305732	0.7130434782608696
rE2G_base	0.5498938428874734	0.6981132075471698
rE2G_base	0.5796178343949044	0.6893939393939394
rE2G_base	0.6029723991507431	0.6698113207547169
rE2G_base	0.6114649681528662	0.64
rE2G_base	0.6284501061571125	0.6192468619246861
rE2G_base	0.6411889596602972	0.5992063492063492
rE2G_base	0.6581740976645435	0.583804143126177
rE2G_base	0.6772823779193206	0.5716845878136201
rE2G_base	0.692144373673036	0.5582191780821918
rE2G_base	0.7006369426751592	0.541871921182266
rE2G_base	0.7197452229299363	0.5347003154574133
rE2G_base	0.7239915074309978	0.5174506828528073
rE2G_base	0.7303609341825902	0.5029239766081871
rE2G_base	0.7367303609341825	0.4887323943661972
rE2G_base	0.7494692144373672	0.48027210884353744
rE2G_base	0.7558386411889597	0.46780551905387646
rE2G_base	0.7579617834394905	0.4541984732824427
rE2G_base	0.7707006369426752	0.44594594594594594
rE2G_base	0.7813163481953291	0.4380952380952381
rE2G_base	0.7940552016985138	0.4323699421965318
rE2G_base	0.7961783439490446	0.4208754208754209
rE2G_base	0.802547770700637	0.4122137404580153
rE2G_base	0.8110403397027601	0.4050901378579003
rE2G_base	0.8131634819532909	0.3956611570247934
rE2G_base	0.8152866242038217	0.386317907444668
rE2G_base	0.821656050955414	0.37978410206084395
rE2G_base	0.8259023354564756	0.37189292543021035
rE2G_base	0.8343949044585988	0.3666044776119403
rE2G_base	0.8365180467091295	0.3588342440801457
rE2G_base	0.8428874734607219	0.35288888888888886
rE2G_base	0.8450106157112527	0.34578627280625546
rE2G_base	0.8471337579617835	0.3387096774193548
rE2G_base	0.8471337579617835	0.3316708229426434
rE2G_base	0.8471337579617835	0.3241267262388302
rE2G_base	0.8471337579617835	0.3176751592356688
rE2G_base	0.8598726114649682	0.3159126365054602
rE2G_base	0.8641188959660298	0.3114001530221882
rE2G_base	0.8662420382165605	0.30607651912978245
