term,count
"Alan Boyle, University of Michigan",2487
"Bill Noble, UW",385
"Michael Beer, JHU",187
"Anshul Kundaje, Stanford",179
"Manolis Kellis, Broad",21
"Zhiping Weng, UMass",15
"Jesse Engreitz, Stanford",7
"Bradley Bernstein, Broad",1
"Christina Leslie, MSKCC",1
ENCODE Consortium Analysis Working Group,1
"Gregory Crawford, Duke",1
"Maxwell Libbrecht, SFU",1
"Roderic Guigo, CRG",1
