accession,annotation_type,lab.title,status,date_released,assembly,encyclopedia_version,description
ENCSR611NER,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0878.2 in GM12878
ENCSR905YJH,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0877.2 in GM12878
ENCSR436ECI,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0876.1 in GM12878
ENCSR660IVG,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0875.1 in GM12878
ENCSR715FNM,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0874.1 in GM12878
ENCSR597SSD,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0873.1 in GM12878
ENCSR588JKV,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0871.2 in GM12878
ENCSR873UWO,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0870.1 in GM12878
ENCSR921ISJ,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0869.1 in GM12878
ENCSR673FHN,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0868.2 in GM12878
ENCSR680NAQ,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0867.2 in GM12878
ENCSR062RMG,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0866.1 in GM12878
ENCSR156WNL,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0865.1 in GM12878
ENCSR397PGM,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0864.2 in GM12878
ENCSR011PZF,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0863.1 in GM12878
ENCSR981COL,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0862.1 in GM12878
ENCSR883PIB,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0861.1 in GM12878
ENCSR894JRK,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0859.1 in GM12878
ENCSR461QOB,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0857.1 in GM12878
ENCSR160SNS,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0856.1 in GM12878
ENCSR906XFX,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0855.1 in GM12878
ENCSR065EMR,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0854.1 in GM12878
ENCSR393CIM,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0853.1 in GM12878
ENCSR712JCB,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0852.2 in GM12878
ENCSR597BCO,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0844.1 in GM12878
ENCSR628YNQ,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0843.1 in GM12878
ENCSR406VSV,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0842.2 in GM12878
ENCSR009MAV,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0841.1 in GM12878
ENCSR110CIK,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0840.1 in GM12878
ENCSR676EYT,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0839.1 in GM12878
ENCSR432TIU,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0838.1 in GM12878
ENCSR389QJB,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0837.1 in GM12878
ENCSR804XVF,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0836.2 in GM12878
ENCSR101AVG,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0835.2 in GM12878
ENCSR732DJR,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0834.1 in GM12878
ENCSR047XAE,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0833.2 in GM12878
ENCSR375INX,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0832.1 in GM12878
ENCSR598ZFC,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0831.2 in GM12878
ENCSR892NGE,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0830.2 in GM12878
ENCSR829TRI,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0827.1 in GM12878
ENCSR919LZT,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0826.1 in GM12878
ENCSR405DDF,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0825.1 in GM12878
ENCSR803KYQ,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0823.1 in GM12878
ENCSR072IJG,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0822.1 in GM12878
ENCSR103PQW,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0821.1 in GM12878
ENCSR759JHD,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0820.1 in GM12878
ENCSR487YVF,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0819.1 in GM12878
ENCSR027WUV,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0818.1 in GM12878
ENCSR904HUE,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0817.1 in GM12878
ENCSR977WCL,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0816.1 in GM12878
ENCSR039XZQ,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0811.1 in GM12878
ENCSR957NJO,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0809.2 in GM12878
ENCSR838SUB,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0808.1 in GM12878
ENCSR323MES,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0805.1 in GM12878
ENCSR592EAU,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0804.1 in GM12878
ENCSR877OLA,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0803.1 in GM12878
ENCSR277WSR,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0802.1 in GM12878
ENCSR423LJB,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0801.1 in GM12878
ENCSR771HAH,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0800.1 in GM12878
ENCSR051QDP,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0799.1 in GM12878
ENCSR965WRS,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0798.2 in GM12878
ENCSR209VOQ,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0797.1 in GM12878
ENCSR268NXQ,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0796.1 in GM12878
ENCSR826HGS,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0795.1 in GM12878
ENCSR422UOP,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0794.1 in GM12878
ENCSR243JER,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0793.1 in GM12878
ENCSR516UFW,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0791.1 in GM12878
ENCSR974FLE,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0789.1 in GM12878
ENCSR145ONF,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0785.1 in GM12878
ENCSR139TNQ,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0784.1 in GM12878
ENCSR566QQQ,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0783.1 in GM12878
ENCSR929QGU,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0782.2 in GM12878
ENCSR392RBW,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0781.1 in GM12878
ENCSR921NEU,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0780.1 in GM12878
ENCSR571CTD,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0779.1 in GM12878
ENCSR208MBH,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0778.1 in GM12878
ENCSR553JFA,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0777.1 in GM12878
ENCSR396DSJ,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0776.1 in GM12878
ENCSR627RDV,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0774.1 in GM12878
ENCSR471AHG,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0773.1 in GM12878
ENCSR307HUK,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0772.1 in GM12878
ENCSR658FFE,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0771.1 in GM12878
ENCSR834WUP,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0770.1 in GM12878
ENCSR614DUJ,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0769.2 in GM12878
ENCSR129OLQ,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0768.1 in GM12878
ENCSR031DRN,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0767.1 in GM12878
ENCSR578GQW,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0766.2 in GM12878
ENCSR794ICS,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0765.2 in GM12878
ENCSR652WZH,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0764.2 in GM12878
ENCSR084HDC,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0763.1 in GM12878
ENCSR422RXB,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0762.1 in GM12878
ENCSR858QIP,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0761.2 in GM12878
ENCSR921WDB,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0760.1 in GM12878
ENCSR764PGQ,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0759.1 in GM12878
ENCSR988MRD,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0758.1 in GM12878
ENCSR147UHB,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0757.1 in GM12878
ENCSR031ZCO,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0756.1 in GM12878
ENCSR554UNH,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0755.1 in GM12878
ENCSR089OCO,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0754.1 in GM12878
ENCSR036TWS,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0753.2 in GM12878
ENCSR724DLH,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0752.1 in GM12878
ENCSR597SFJ,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0751.1 in GM12878
ENCSR835YLI,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0750.2 in GM12878
ENCSR205QQD,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0748.2 in GM12878
ENCSR259YKG,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0747.1 in GM12878
ENCSR986KIQ,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0746.2 in GM12878
ENCSR423GTE,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0745.2 in GM12878
ENCSR171PPT,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0744.2 in GM12878
ENCSR138QYL,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0743.2 in GM12878
ENCSR679SSU,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0742.1 in GM12878
ENCSR665TSL,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0741.1 in GM12878
ENCSR130MHT,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0740.1 in GM12878
ENCSR154AUV,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0739.1 in GM12878
ENCSR580GEZ,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0738.1 in GM12878
ENCSR728HRX,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0737.1 in GM12878
ENCSR010WOD,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0736.1 in GM12878
ENCSR445GVG,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0735.1 in GM12878
ENCSR508AGQ,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0734.2 in GM12878
ENCSR373XMF,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0733.1 in GM12878
ENCSR348GCD,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0732.1 in GM12878
ENCSR072LWC,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0731.1 in GM12878
ENCSR525ZPR,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0729.1 in GM12878
ENCSR591LUP,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0727.1 in GM12878
ENCSR219OQH,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0726.1 in GM12878
ENCSR267DZX,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0724.1 in GM12878
ENCSR949JVE,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0715.1 in GM12878
ENCSR248WQX,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0714.1 in GM12878
ENCSR919WQB,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0712.2 in GM12878
ENCSR709GNJ,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0711.1 in GM12878
ENCSR781QIF,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0710.1 in GM12878
ENCSR189PIG,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0705.1 in GM12878
ENCSR254JEJ,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0703.2 in GM12878
ENCSR826MWF,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0702.2 in GM12878
ENCSR867YQX,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0701.2 in GM12878
ENCSR005OZN,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0700.2 in GM12878
ENCSR467IMX,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0699.1 in GM12878
ENCSR405XXV,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0698.1 in GM12878
ENCSR430NFT,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0697.1 in GM12878
ENCSR197FBD,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0696.1 in GM12878
ENCSR495DUN,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0695.1 in GM12878
ENCSR184HYW,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0694.1 in GM12878
ENCSR641SZI,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0692.1 in GM12878
ENCSR999RNE,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0691.1 in GM12878
ENCSR986XRW,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0690.1 in GM12878
ENCSR756LUR,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0689.1 in GM12878
ENCSR978ESU,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0688.1 in GM12878
ENCSR048BCH,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0687.1 in GM12878
ENCSR390LID,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0686.1 in GM12878
ENCSR706DSP,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0685.1 in GM12878
ENCSR656AYU,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0684.2 in GM12878
ENCSR360GWB,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0683.1 in GM12878
ENCSR584WHD,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0682.2 in GM12878
ENCSR998UVK,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0681.2 in GM12878
ENCSR405GFP,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0680.1 in GM12878
ENCSR045RYQ,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0679.2 in GM12878
ENCSR228FRH,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0678.1 in GM12878
ENCSR374SOC,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0677.1 in GM12878
ENCSR221PGU,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0676.1 in GM12878
ENCSR560HEW,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0672.1 in GM12878
ENCSR978CVB,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0671.1 in GM12878
ENCSR694VUE,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0670.1 in GM12878
ENCSR114IET,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0669.1 in GM12878
ENCSR223OCT,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0668.1 in GM12878
ENCSR547JCY,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0667.1 in GM12878
ENCSR972HJE,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0666.1 in GM12878
ENCSR879DFB,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0665.1 in GM12878
ENCSR886PXF,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0664.1 in GM12878
ENCSR320LBI,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0663.1 in GM12878
ENCSR866UWM,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0661.1 in GM12878
ENCSR282NDF,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0660.1 in GM12878
ENCSR512JEL,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0659.2 in GM12878
ENCSR697LYM,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0658.1 in GM12878
ENCSR487OCX,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0657.1 in GM12878
ENCSR079UXD,footprints,"Alan Boyle, University of Michigan",released,2022-12-07,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0655.1 in GM12878
ENCSR450EPT,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0654.1 in GM12878
ENCSR287WVD,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA0653.1 in GM12878
