accession,annotation_type,lab.title,status,date_released,assembly,encyclopedia_version,description
ENCSR430POV,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on IRF4 ChIP-seq data in GM12878 (ENCSR000BGY)(status:passed)(found direct motif (counts, profile))"
ENCSR273TEU,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on PAX5 ChIP-seq data in GM12878 (ENCSR000BHD)(status:passed)(found direct motif (counts, profile))"
ENCSR861AYR,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on NR2F1 ChIP-seq data in GM12878 (ENCSR514VYD)(status:passed)(found direct motif (counts, profile))"
ENCSR538HRY,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on MAFK ChIP-seq data in GM12878 (ENCSR000DYV)(status:passed)(found direct motif (counts, profile))"
ENCSR130BYX,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on RUNX3 ChIP-seq data in GM12878 (ENCSR000BRI)(status:passed)(found direct motif (counts, profile))"
ENCSR218LOC,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on POU2F2 ChIP-seq data in GM12878 (ENCSR000BGP)(status:passed)(found direct motif (counts, profile))"
ENCSR249YHP,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on EBF1 ChIP-seq data in GM12878 (ENCSR000BGU)(status:passed)(found direct motif (counts, profile))"
ENCSR941VQC,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on NFYA ChIP-seq data in GM12878 (ENCSR000DNN)(status:passed)(found direct motif (counts, profile))"
ENCSR363LRQ,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on MXI1 ChIP-seq data in GM12878 (ENCSR000DZI)(status:passed)(found direct motif (counts, profile))"
ENCSR862QUY,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on SRF ChIP-seq data in GM12878 (ENCSR000BMI)(status:passed)(found direct motif (counts, profile))"
ENCSR511BKM,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on USF1 ChIP-seq data in GM12878 (ENCSR000BGI)(status:passed)(found direct motif (counts, profile))"
ENCSR714UPI,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on TCF12 ChIP-seq data in GM12878 (ENCSR000BGZ)(status:passed)(found direct motif (counts, profile))"
ENCSR205QBW,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on FOS ChIP-seq data in GM12878 (ENCSR000EYZ)(status:passed)(found direct motif (counts, profile))"
ENCSR974FAN,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,BPNet models trained on FOXK2 ChIP-seq data in GM12878 (ENCSR861JUQ)(status:passed)(found direct motif (profile))
ENCSR101PVF,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on PBX3 ChIP-seq data in GM12878 (ENCSR000BGR)(status:passed)(found direct motif (counts, profile))"
ENCSR289CZE,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on IKZF2 ChIP-seq data in GM12878 (ENCSR680UQE)(status:passed)(found direct motif (counts, profile))"
ENCSR914CPB,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on E2F4 ChIP-seq data in GM12878 (ENCSR000DYY)(status:passed)(found direct motif (counts, profile))"
ENCSR524YDZ,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,BPNet models trained on BCL3 ChIP-seq data in GM12878 (ENCSR000BNQ)(status:unvalidated)(no known direct/potential direct motif)
ENCSR056PCS,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on RELA ChIP-seq data in GM12878 (ENCSR664POU)(status:passed)(found direct motif (counts, profile))"
ENCSR419MKE,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on CTCF ChIP-seq data in GM12878 (ENCSR000DZN)(status:passed)(found direct motif (counts, profile))"
ENCSR040PVF,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on PAX5 ChIP-seq data in GM12878 (ENCSR000BHJ)(status:passed)(found direct motif (counts, profile))"
ENCSR113JWW,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on PAX8 ChIP-seq data in GM12878 (ENCSR192AFN)(status:passed)(found direct motif (counts, profile))"
ENCSR948FHI,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on ATF2 ChIP-seq data in GM12878 (ENCSR961PPA)(status:passed)(found direct motif (counts, profile))"
ENCSR415CSY,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,BPNet models trained on EGR1 ChIP-seq data in GM12878 (ENCSR000BRG)(status:passed)(found direct motif (counts))
ENCSR769ACL,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on NFYB ChIP-seq data in GM12878 (ENCSR000DNM)(status:passed)(found direct motif (counts, profile))"
ENCSR853ETF,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on ESRRA ChIP-seq data in GM12878 (ENCSR000DYQ)(status:passed)(found direct motif (counts, profile))"
ENCSR664ZPG,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on CUX1 ChIP-seq data in GM12878 (ENCSR000DYR)(status:passed)(found direct motif (counts, profile))"
ENCSR254CFS,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on NR2C2 ChIP-seq data in GM12878 (ENCSR000EUL)(status:passed)(found direct motif (counts, profile))"
ENCSR199HXS,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on IKZF1 ChIP-seq data in GM12878 (ENCSR874AFU)(status:passed)(found direct motif (counts, profile))"
ENCSR326PIH,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on TCF3 ChIP-seq data in GM12878 (ENCSR000BQT)(status:passed)(found direct motif (counts, profile))"
ENCSR970WDM,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on MEF2B ChIP-seq data in GM12878 (ENCSR177VFS)(status:passed)(found direct motif (counts, profile))"
ENCSR617OUA,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on ELK1 ChIP-seq data in GM12878 (ENCSR000DZB)(status:passed)(found direct motif (counts, profile))"
ENCSR284EMN,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on ELF1 ChIP-seq data in GM12878 (ENCSR000BMB)(status:passed)(found direct motif (counts, profile))"
ENCSR419HPN,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on MAX ChIP-seq data in GM12878 (ENCSR000DZF)(status:passed)(found direct motif (counts, profile))"
ENCSR099EKK,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on IKZF2 ChIP-seq data in GM12878 (ENCSR822AHX)(status:passed)(found direct motif (counts, profile))"
ENCSR090VBP,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on GABPA ChIP-seq data in GM12878 (ENCSR331HPA)(status:passed)(found direct motif (counts, profile))"
ENCSR771NZC,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on SRF ChIP-seq data in GM12878 (ENCSR041XML)(status:passed)(found direct motif (counts, profile))"
ENCSR142BYT,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on IKZF1 ChIP-seq data in GM12878 (ENCSR441VHN)(status:passed)(found direct motif (counts, profile))"
ENCSR342AKH,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on BHLHE40 ChIP-seq data in GM12878 (ENCSR987MTA)(status:passed)(found direct motif (counts, profile))"
ENCSR989CSU,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,BPNet models trained on NR2C1 ChIP-seq data in GM12878 (ENCSR784VIQ)(status:passed)(found direct motif (profile))
ENCSR748FOU,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on TBP ChIP-seq data in GM12878 (ENCSR000DZZ)(status:passed)(found direct motif (counts, profile))"
ENCSR141EXZ,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on EGR1 ChIP-seq data in GM12878 (ENCSR000BMQ)(status:passed)(found direct motif (counts, profile))"
ENCSR367ANH,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on BATF ChIP-seq data in GM12878 (ENCSR000BGT)(status:passed)(found direct motif (counts, profile))"
ENCSR805HVX,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on ATF2 ChIP-seq data in GM12878 (ENCSR000BQK)(status:passed)(found direct motif (counts, profile))"
ENCSR275MUR,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on MEF2A ChIP-seq data in GM12878 (ENCSR000BKB)(status:passed)(found direct motif (counts, profile))"
ENCSR040IAH,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on SRF ChIP-seq data in GM12878 (ENCSR000BGE)(status:passed)(found direct motif (counts, profile))"
ENCSR946PGY,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on ETS1 ChIP-seq data in GM12878 (ENCSR000BKA)(status:passed)(found direct motif (counts, profile))"
ENCSR739XCG,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on TCF12 ChIP-seq data in GM12878 (ENCSR725VFL)(status:passed)(found direct motif (counts, profile))"
ENCSR661AQY,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on NRF1 ChIP-seq data in GM12878 (ENCSR000DZO)(status:passed)(found direct motif (counts, profile))"
ENCSR095LRJ,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on SP1 ChIP-seq data in GM12878 (ENCSR000BHK)(status:passed)(found direct motif (counts, profile))"
ENCSR583JLE,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,"BPNet models trained on ELF1 ChIP-seq data in GM12878 (ENCSR841NDX)(status:passed)(found direct motif (counts, profile))"
ENCSR001IUM,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on PKNOX1 ChIP-seq data in GM12878 (ENCSR711XNY)(status:passed)(found direct motif (counts, profile))"
ENCSR476ZGO,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on TBX21 ChIP-seq data in GM12878 (ENCSR739IHN)(status:passed)(found direct motif (counts, profile))"
ENCSR794WXP,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR335TIH,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on MAZ ChIP-seq data in GM12878 (ENCSR903MVU)(status:passed)(found direct motif (counts, profile))"
ENCSR591EPF,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR478VGG,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on BACH1 ChIP-seq data in GM12878 (ENCSR636MKU)(status:passed)(found direct motif (counts, profile))"
ENCSR528VFK,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
ENCSR401RIZ,BPNet-model,"Anshul Kundaje, Stanford",released,2026-06-02,GRCh38,,"BPNet models trained on YY1 ChIP-seq data in GM12878 (ENCSR000EUM)(status:passed)(found direct motif (counts, profile))"
ENCSR767JFZ,BPNet-control,"Anshul Kundaje, Stanford",released,2026-06-03,GRCh38,,
