accession,@type,preferred_assay_titles,assay_titles,file_set_type,lab.title,status,release_timestamp,summary,content_type,file_format,assembly,file_size,file_set.@id,classifications,sample_terms.term_id,samples.sample_terms.term_id
IGVFDS7446JCCY,MeasurementSet,MPRA,massively parallel reporter assay,experimental data,"Harinder Singh, University of Pittsburgh",released,2025-12-19T18:20:46.930714+00:00,"MPRA integrating a reporter library targeting accessible genome regions, TF binding sites genome-wide",,,,,,,,
IGVFDS5083RSLD,MeasurementSet,MPRA,massively parallel reporter assay,experimental data,"Harinder Singh, University of Pittsburgh",released,2025-12-19T18:20:49.455146+00:00,"MPRA integrating a reporter library targeting accessible genome regions, TF binding sites genome-wide",,,,,,,,
IGVFDS6230NHQE,MeasurementSet,MPRA,massively parallel reporter assay,experimental data,"Harinder Singh, University of Pittsburgh",released,2025-12-19T18:20:51.380731+00:00,"MPRA integrating a reporter library targeting accessible genome regions, TF binding sites genome-wide",,,,,,,,
IGVFDS2616NTKE,MeasurementSet,MPRA,massively parallel reporter assay,experimental data,"Harinder Singh, University of Pittsburgh",released,2025-12-19T18:20:53.075477+00:00,"MPRA integrating a reporter library targeting accessible genome regions, TF binding sites genome-wide",,,,,,,,
IGVFDS6431ZPLN,MeasurementSet,MPRA,massively parallel reporter assay,experimental data,"Harinder Singh, University of Pittsburgh",released,2025-12-19T18:20:44.715158+00:00,"MPRA integrating a reporter library targeting accessible genome regions, TF binding sites genome-wide",,,,,,,,
