portal,type,facet,term,count
encode,Experiment,target.label,MTA3,1
encode,Experiment,target.label,MXI1,1
encode,Experiment,target.label,MYB,1
encode,Experiment,target.label,MYC,1
encode,Experiment,target.label,Methylcytidine,1
encode,Experiment,target.label,NBN,1
encode,Experiment,target.label,NFATC1,1
encode,Experiment,target.label,NFATC3,1
encode,Experiment,target.label,NFE2,1
encode,Experiment,target.label,NFIC,1
encode,Experiment,target.label,NFXL1,1
encode,Experiment,target.label,NFYA,1
encode,Experiment,target.label,NFYB,1
encode,Experiment,target.label,NKRF,1
encode,Experiment,target.label,NR2C1,1
encode,Experiment,target.label,NR2C2,1
encode,Experiment,target.label,NR2F1,1
encode,Experiment,target.label,NR3C1,1
encode,Experiment,target.label,NRF1,1
encode,Experiment,target.label,PAX8,1
encode,Experiment,target.label,PBX3,1
encode,Experiment,target.label,PKNOX1,1
encode,Experiment,target.label,PML,1
encode,Experiment,target.label,POLR2AphosphoS2,1
encode,Experiment,target.label,POLR2AphosphoS5,1
encode,Experiment,target.label,POLR3G,1
encode,Experiment,target.label,POU2F2,1
encode,Experiment,target.label,PRDM15,1
encode,Experiment,target.label,RAD51,1
encode,Experiment,target.label,RBBP5,1
encode,Experiment,target.label,RCOR1,1
encode,Experiment,target.label,RELB,1
encode,Experiment,target.label,RFX5,1
encode,Experiment,target.label,RNF2,1
encode,Experiment,target.label,RUNX3,1
encode,Experiment,target.label,RXRA,1
encode,Experiment,target.label,SIN3A,1
encode,Experiment,target.label,SIX5,1
encode,Experiment,target.label,SKIL,1
encode,Experiment,target.label,SLBP,1
encode,Experiment,target.label,SMAD1,1
encode,Experiment,target.label,SMAD5,1
encode,Experiment,target.label,SMARCA5,1
encode,Experiment,target.label,SMC1A,1
encode,Experiment,target.label,SMC3,1
encode,Experiment,target.label,SP1,1
encode,Experiment,target.label,SPI1,1
encode,Experiment,target.label,SREBF1,1
encode,Experiment,target.label,SREBF2,1
encode,Experiment,target.label,STAT3,1
encode,Experiment,target.label,STAT5A,1
encode,Experiment,target.label,SUPT20H,1
encode,Experiment,target.label,TAF1,1
encode,Experiment,target.label,TBL1XR1,1
encode,Experiment,target.label,TBP,1
encode,Experiment,target.label,TBX21,1
encode,Experiment,target.label,TCF3,1
encode,Experiment,target.label,TCF7,1
encode,Experiment,target.label,UBTF,1
encode,Experiment,target.label,USF1,1
encode,Experiment,target.label,USF2,1
encode,Experiment,target.label,WHSC1,1
encode,Experiment,target.label,WRNIP1,1
encode,Experiment,target.label,YBX1,1
encode,Experiment,target.label,ZBED1,1
encode,Experiment,target.label,ZBTB11,1
encode,Experiment,target.label,ZBTB17,1
encode,Experiment,target.label,ZBTB4,1
encode,Experiment,target.label,ZBTB40,1
encode,Experiment,target.label,ZEB1,1
encode,Experiment,target.label,ZFP36,1
encode,Experiment,target.label,ZNF207,1
encode,Experiment,target.label,ZNF217,1
encode,Experiment,target.label,ZNF24,1
encode,Experiment,target.label,ZNF274,1
encode,Experiment,target.label,ZNF384,1
encode,Experiment,target.label,ZNF592,1
encode,Experiment,target.label,ZNF622,1
encode,Experiment,target.label,ZNF687,1
encode,Experiment,target.label,ZSCAN29,1
encode,Experiment,target.label,ZZZ3,1
encode,Experiment,replicates.library.biosample.treatments.treatment_term_name,tumor necrosis factor,2
encode,Experiment,replicates.library.biosample.treatments.treatment_term_name,NAI-N3,1
encode,Experiment,replicates.library.biosample.treatments.treatment_term_name,dimethyl sulfoxide,1
encode,Experiment,replicates.library.biosample.treatments.treatment_term_name,irradiation,1
encode,Experiment,award.rfa,ENCODE2,210
encode,Experiment,award.rfa,ENCODE3,160
encode,Experiment,award.rfa,ENCODE4,118
encode,Experiment,award.rfa,community,2
encode,Experiment,assembly,GRCh38,378
encode,Experiment,assembly,hg19,308
encode,Experiment,files.file_type,fastq,427
encode,Experiment,files.file_type,bam,422
encode,Experiment,files.file_type,bigWig,377
encode,Experiment,files.file_type,bed narrowPeak,215
encode,Experiment,files.file_type,bigBed narrowPeak,214
encode,Experiment,files.file_type,bed idr_ranked_peak,190
encode,Experiment,files.file_type,bed broadPeak,93
encode,Experiment,files.file_type,bigBed broadPeak,93
encode,Experiment,files.file_type,hic,81
encode,Experiment,files.file_type,tsv,71
encode,Experiment,files.file_type,gtf,23
encode,Experiment,files.file_type,bed bedRnaElements,18
encode,Experiment,files.file_type,bigBed bedRnaElements,18
encode,Experiment,files.file_type,tagAlign,12
encode,Experiment,files.file_type,bedpe,11
encode,Experiment,files.file_type,bed bed9+,9
encode,Experiment,files.file_type,tar,9
encode,Experiment,files.file_type,bed bed3+,8
encode,Experiment,files.file_type,pairs,8
encode,Experiment,files.file_type,bed bed9,7
encode,Experiment,files.file_type,bed tss_peak,7
encode,Experiment,files.file_type,bigBed bed9,7
encode,Experiment,files.file_type,bigBed tss_peak,7
