tag,fit0_intercept,fit0_slope,fit0_theta,fit1_intercept,fit1_slope,fit1_theta,n_iter,frac_positive
HTO_A,1.2487301591939453,0.14117161211522453,1.296344217878159,-2.7594920501594116,1.2052445339006759,1.4998084224268888,6,0.15648779196718057
HTO_B,1.5662168611753238,0.13888101684549903,1.5266558305032147,-2.8202691850205004,1.177204371184332,1.289921413078435,7,0.1621782571296235
HTO_C,1.8403909590252152,0.1295193605715554,1.7150088852217051,-4.297766326582798,1.4173065916172858,1.705664469206811,6,0.15456891417984517
HTO_D,2.064924136738545,0.13478386339190757,2.1394088809270992,-4.539308249945922,1.3552713521680135,1.2857079833793497,6,0.14047508767286443
HTO_E,1.9062031905515715,0.11745334442013498,2.0026236940591993,-3.206361309570454,1.2256140454891322,1.3911038169552268,5,0.12724144776020643
HTO_F,2.3279796537425907,0.11020367712011392,2.259121796926613,-3.0718154207051063,1.2113729267140987,1.2452439128339086,5,0.12982200754317474
HTO_G,2.7468281111256774,0.13690429092832804,3.9490185118209724,-3.88668006905935,1.3203126757484613,1.267356735081973,6,0.15145900880037055
HTO_H,1.9835981050938838,0.11606051533371041,2.1110686830733814,-3.0905694394807823,1.2288556881317436,1.2946452958711872,5,0.15503209157678818
